P001,A002,001,2026-05-17,Dikembalikan
P002,A001,002,2026-05-17,Dikembalikan
P003,A004,001,2026-05-17,Dikembalikan
P004,A002,001,2026-05-17,Dikembalikan
P005,A012,005,2026-05-21,Dipinjam
P006,A003,010,2026-05-21,Dipinjam
P007,A008,015,2026-05-21,Dipinjam
P008,A001,004,2026-05-24,Dipinjam
P021,A013,024,2026-05-25,Dipinjam
P022,A015,026,2026-05-25,Dikembalikan
P023,A016,028,2026-05-25,Dipinjam
P024,A019,031,2026-05-25,Dipinjam
P025,A021,033,2026-05-25,Dikembalikan
P026,A023,037,2026-05-25,Dipinjam
P027,A024,038,2026-05-25,Dikembalikan
P028,A026,039,2026-05-25,Dipinjam
P029,A027,040,2026-05-25,Dipinjam
P030,A029,042,2026-05-25,Dikembalikan
P031,A030,044,2026-05-25,Dipinjam
P032,A032,045,2026-05-25,Dipinjam
P033,A033,047,2026-05-25,Dikembalikan
P034,A034,048,2026-05-25,Dipinjam
P035,A036,049,2026-05-25,Dipinjam
P036,A037,051,2026-05-25,Dikembalikan
P037,A038,052,2026-05-25,Dipinjam
P038,A039,053,2026-05-25,Dipinjam
P039,A040,054,2026-05-25,Dikembalikan
P040,A018,056,2026-05-25,Dipinjam
P041,A017,057,2026-05-25,Dipinjam
P042,A014,058,2026-05-25,Dikembalikan
P043,A011,059,2026-05-25,Dipinjam
P044,A025,060,2026-05-25,Dipinjam
P045,A031,041,2026-05-25,Dikembalikan
P046,A020,043,2026-05-25,Dipinjam
P047,A028,035,2026-05-25,Dipinjam
P048,A022,027,2026-05-25,Dikembalikan
P049,A035,029,2026-05-25,Dikembalikan
P050,A012,030,2026-05-25,Dikembalikan
P039,A031,035,2026-05-25,Dipinjam
P051,A002,00001,2026-05-26,Dipinjam
